year SL_MMCP2.6 SL_MMCP4.5 SL_MMCP6.0 SL_MMCP-break SL_MMCP8.5 SL_MMCP-feedback 
 6646 3.710 7.327 13.825 19.542 26.938 32.794 
 6647 3.712 7.329 13.825 19.543 26.939 32.796 
 6648 3.713 7.331 13.826 19.543 26.941 32.799 
 6649 3.713 7.333 13.827 19.543 26.942 32.801 
 6650 3.713 7.335 13.827 19.544 26.944 32.803 
 6651 3.713 7.336 13.828 19.546 26.945 32.805 
 6652 3.715 7.336 13.829 19.546 26.946 32.807 
 6653 3.717 7.338 13.831 19.546 26.946 32.809 
 6654 3.718 7.338 13.832 19.547 26.946 32.811 
 6655 3.719 7.340 13.832 19.547 26.946 32.812 
 6656 3.719 7.341 13.832 19.548 26.947 32.813 
 6657 3.721 7.342 13.833 19.549 26.948 32.815 
 6658 3.721 7.344 13.833 19.550 26.948 32.816 
 6659 3.721 7.346 13.835 19.551 26.948 32.816 
 6660 3.722 7.348 13.836 19.552 26.950 32.817 
 6661 3.724 7.350 13.837 19.553 26.952 32.818 
 6662 3.725 7.352 13.838 19.554 26.953 32.821 
 6663 3.725 7.353 13.839 19.555 26.954 32.823 
 6664 3.726 7.355 13.839 19.556 26.954 32.825 
 6665 3.726 7.357 13.839 19.557 26.955 32.826 
 6666 3.726 7.359 13.840 19.557 26.955 32.828 
 6667 3.726 7.360 13.842 19.557 26.956 32.828 
 6668 3.727 7.361 13.844 19.558 26.957 32.829 
 6669 3.728 7.363 13.845 19.559 26.958 32.831 
 6670 3.729 7.364 13.845 19.559 26.960 32.834 
 6671 3.730 7.365 13.845 19.560 26.961 32.836 
 6672 3.731 7.366 13.846 19.561 26.962 32.838 
 6673 3.732 7.368 13.848 19.562 26.963 32.840 
 6674 3.733 7.369 13.848 19.562 26.965 32.843 
 6675 3.734 7.371 13.848 19.563 26.965 32.844 
 6676 3.736 7.373 13.849 19.564 26.966 32.845 
 6677 3.737 7.373 13.851 19.565 26.965 32.847 
 6678 3.737 7.374 13.852 19.566 26.966 32.848 
 6679 3.738 7.376 13.854 19.567 26.966 32.850 
 6680 3.738 7.377 13.854 19.568 26.966 32.852 
 6681 3.738 7.379 13.855 19.568 26.966 32.853 
 6682 3.738 7.380 13.856 19.569 26.967 32.854 
 6683 3.739 7.382 13.857 19.570 26.969 32.856 
 6684 3.739 7.383 13.858 19.569 26.971 32.858 
 6685 3.740 7.384 13.859 19.570 26.972 32.858 
 6686 3.741 7.386 13.860 19.571 26.974 32.859 
 6687 3.740 7.388 13.861 19.571 26.974 32.860 
 6688 3.741 7.390 13.863 19.572 26.974 32.863 
 6689 3.742 7.392 13.865 19.573 26.975 32.866 
 6690 3.742 7.394 13.865 19.574 26.976 32.869 
 6691 3.742 7.395 13.866 19.574 26.977 32.870 
 6692 3.743 7.396 13.865 19.575 26.977 32.870 
 6693 3.745 7.398 13.866 19.575 26.978 32.870 
 6694 3.746 7.399 13.867 19.574 26.979 32.872 
 6695 3.748 7.401 13.868 19.574 26.979 32.874 
 6696 3.749 7.402 13.869 19.575 26.981 32.877 
 6697 3.750 7.404 13.870 19.577 26.981 32.878 
 6698 3.751 7.406 13.871 19.577 26.984 32.879 
 6699 3.752 7.408 13.871 19.578 26.986 32.881 
 6700 3.753 7.410 13.872 19.579 26.987 32.882 
 6701 3.753 7.411 13.873 19.580 26.988 32.885 
 6702 3.754 7.412 13.874 19.580 26.990 32.887 
 6703 3.755 7.414 13.874 19.581 26.991 32.889 
 6704 3.755 7.415 13.875 19.582 26.993 32.891 
 6705 3.756 7.417 13.876 19.584 26.993 32.893 
 6706 3.757 7.418 13.877 19.586 26.993 32.894 
 6707 3.757 7.420 13.878 19.587 26.993 32.896 
 6708 3.758 7.421 13.879 19.588 26.994 32.898 
 6709 3.759 7.421 13.880 19.588 26.996 32.899 
 6710 3.759 7.422 13.881 19.588 26.997 32.901 
 6711 3.760 7.423 13.882 19.589 26.998 32.903 
 6712 3.760 7.424 13.883 19.590 26.998 32.906 
 6713 3.761 7.426 13.884 19.592 26.999 32.908 
 6714 3.763 7.429 13.885 19.594 27.000 32.909 
 6715 3.764 7.430 13.886 19.596 27.002 32.911 
 6716 3.765 7.432 13.886 19.596 27.003 32.913 
 6717 3.766 7.433 13.887 19.598 27.004 32.915 
 6718 3.767 7.435 13.888 19.598 27.004 32.916 
 6719 3.768 7.435 13.889 19.599 27.004 32.917 
 6720 3.769 7.436 13.891 19.599 27.005 32.919 
 6721 3.769 7.436 13.893 19.599 27.005 32.920 
 6722 3.770 7.437 13.893 19.600 27.006 32.921 
 6723 3.770 7.438 13.894 19.601 27.007 32.922 
 6724 3.770 7.440 13.896 19.602 27.008 32.923 
 6725 3.770 7.441 13.897 19.603 27.009 32.925 
 6726 3.771 7.443 13.898 19.605 27.011 32.927 
 6727 3.772 7.443 13.899 19.607 27.013 32.928 
 6728 3.772 7.444 13.901 19.607 27.015 32.930 
 6729 3.773 7.445 13.901 19.609 27.016 32.931 
 6730 3.774 7.447 13.901 19.610 27.017 32.933 
 6731 3.775 7.448 13.901 19.610 27.017 32.935 
 6732 3.776 7.449 13.903 19.611 27.019 32.937 
 6733 3.777 7.451 13.904 19.611 27.019 32.939 
 6734 3.778 7.452 13.904 19.613 27.020 32.941 
 6735 3.778 7.454 13.903 19.614 27.021 32.942 
 6736 3.779 7.455 13.904 19.614 27.020 32.945 
 6737 3.780 7.456 13.904 19.616 27.021 32.947 
 6738 3.780 7.458 13.905 19.617 27.021 32.949 
 6739 3.781 7.459 13.906 19.619 27.021 32.951 
 6740 3.782 7.461 13.906 19.621 27.022 32.953 
 6741 3.783 7.462 13.906 19.622 27.023 32.955 
 6742 3.783 7.464 13.908 19.623 27.024 32.957 
 6743 3.785 7.466 13.909 19.624 27.024 32.960 
 6744 3.786 7.467 13.910 19.624 27.025 32.961 
 6745 3.787 7.468 13.911 19.624 27.025 32.963 
 6746 3.787 7.470 13.911 19.624 27.026 32.964 
 6747 3.787 7.471 13.912 19.624 27.027 32.966 
 6748 3.788 7.473 13.913 19.624 27.029 32.968 
 6749 3.789 7.474 13.914 19.624 27.031 32.970 
 6750 3.790 7.475 13.915 19.624 27.032 32.970 
 6751 3.790 7.477 13.916 19.625 27.033 32.971 
 6752 3.791 7.478 13.917 19.626 27.034 32.973 
 6753 3.792 7.479 13.917 19.628 27.036 32.975 
 6754 3.793 7.480 13.918 19.629 27.036 32.977 
 6755 3.794 7.482 13.918 19.630 27.036 32.979 
 6756 3.796 7.485 13.920 19.630 27.037 32.981 
 6757 3.796 7.486 13.920 19.631 27.037 32.983 
 6758 3.797 7.487 13.920 19.632 27.039 32.984 
 6759 3.798 7.488 13.921 19.632 27.039 32.985 
 6760 3.799 7.489 13.922 19.633 27.040 32.986 
 6761 3.801 7.490 13.923 19.633 27.040 32.988 
 6762 3.802 7.492 13.923 19.634 27.041 32.990 
 6763 3.803 7.492 13.923 19.635 27.042 32.991 
 6764 3.804 7.494 13.924 19.636 27.042 32.994 
 6765 3.806 7.496 13.925 19.638 27.043 32.996 
 6766 3.807 7.498 13.925 19.640 27.044 32.998 
 6767 3.808 7.500 13.926 19.641 27.045 33.000 
 6768 3.810 7.501 13.927 19.642 27.045 33.002 
 6769 3.811 7.503 13.929 19.642 27.046 33.004 
 6770 3.811 7.504 13.930 19.642 27.046 33.006 
 6771 3.813 7.505 13.930 19.642 27.046 33.008 
 6772 3.814 7.506 13.931 19.643 27.047 33.009 
 6773 3.814 7.508 13.932 19.644 27.047 33.009 
 6774 3.815 7.509 13.933 19.644 27.048 33.009 
 6775 3.816 7.509 13.933 19.645 27.049 33.010 
 6776 3.817 7.510 13.933 19.645 27.050 33.012 
 6777 3.818 7.511 13.933 19.645 27.051 33.013 
 6778 3.820 7.512 13.934 19.646 27.053 33.016 
 6779 3.821 7.514 13.935 19.647 27.055 33.018 
 6780 3.822 7.516 13.937 19.648 27.055 33.019 
 6781 3.823 7.516 13.939 19.650 27.055 33.022 
 6782 3.824 7.517 13.938 19.649 27.056 33.024 
 6783 3.825 7.519 13.939 19.649 27.058 33.026 
 6784 3.827 7.521 13.940 19.650 27.059 33.029 
 6785 3.828 7.523 13.940 19.651 27.061 33.031 
 6786 3.830 7.525 13.940 19.651 27.062 33.034 
 6787 3.831 7.526 13.940 19.651 27.063 33.037 
 6788 3.832 7.528 13.941 19.653 27.064 33.040 
 6789 3.833 7.529 13.942 19.654 27.064 33.041 
 6790 3.834 7.531 13.942 19.654 27.065 33.041 
 6791 3.836 7.532 13.944 19.654 27.066 33.041 
 6792 3.837 7.534 13.946 19.655 27.068 33.042 
 6793 3.839 7.535 13.947 19.656 27.071 33.045 
 6794 3.841 7.536 13.947 19.656 27.073 33.047 
 6795 3.843 7.537 13.948 19.656 27.075 33.049 
 6796 3.844 7.539 13.948 19.657 27.077 33.051 
 6797 3.844 7.540 13.949 19.658 27.078 33.052 
 6798 3.845 7.541 13.949 19.659 27.079 33.053 
 6799 3.847 7.543 13.948 19.660 27.078 33.054 
 6800 3.848 7.545 13.949 19.661 27.080 33.055 
 6801 3.849 7.546 13.951 19.661 27.081 33.056 
 6802 3.850 7.548 13.952 19.662 27.083 33.055 
 6803 3.851 7.549 13.953 19.663 27.085 33.056 
 6804 3.852 7.551 13.954 19.662 27.088 33.057 
 6805 3.852 7.553 13.955 19.662 27.091 33.059 
 6806 3.853 7.554 13.955 19.663 27.094 33.061 
 6807 3.854 7.555 13.956 19.664 27.096 33.063 
 6808 3.855 7.556 13.957 19.665 27.097 33.065 
 6809 3.857 7.558 13.957 19.665 27.098 33.068 
 6810 3.858 7.560 13.957 19.666 27.100 33.069 
 6811 3.860 7.561 13.958 19.666 27.101 33.072 
 6812 3.860 7.563 13.958 19.668 27.102 33.075 
 6813 3.861 7.565 13.958 19.668 27.103 33.077 
 6814 3.863 7.566 13.959 19.669 27.103 33.079 
 6815 3.864 7.567 13.959 19.669 27.104 33.080 
 6816 3.865 7.569 13.960 19.670 27.104 33.081 
 6817 3.866 7.570 13.961 19.670 27.106 33.082 
 6818 3.868 7.571 13.963 19.671 27.107 33.083 
 6819 3.871 7.574 13.963 19.672 27.107 33.084 
 6820 3.872 7.576 13.964 19.673 27.108 33.085 
 6821 3.874 7.577 13.966 19.675 27.108 33.087 
 6822 3.875 7.578 13.967 19.675 27.109 33.088 
 6823 3.876 7.579 13.969 19.675 27.110 33.090 
 6824 3.878 7.580 13.970 19.677 27.112 33.092 
 6825 3.879 7.581 13.972 19.677 27.114 33.094 
 6826 3.880 7.583 13.972 19.678 27.116 33.095 
 6827 3.881 7.584 13.972 19.679 27.116 33.096 
 6828 3.882 7.585 13.973 19.680 27.116 33.097 
 6829 3.883 7.587 13.974 19.681 27.118 33.098 
 6830 3.883 7.588 13.975 19.683 27.119 33.099 
 6831 3.885 7.589 13.975 19.684 27.121 33.101 
 6832 3.887 7.591 13.975 19.685 27.123 33.104 
 6833 3.888 7.592 13.976 19.686 27.125 33.106 
 6834 3.890 7.593 13.976 19.687 27.125 33.107 
 6835 3.890 7.593 13.976 19.688 27.126 33.108 
 6836 3.890 7.594 13.977 19.688 27.127 33.110 
 6837 3.892 7.595 13.977 19.688 27.127 33.111 
 6838 3.894 7.596 13.978 19.689 27.129 33.113 
 6839 3.895 7.597 13.979 19.690 27.129 33.115 
 6840 3.895 7.598 13.980 19.690 27.129 33.116 
 6841 3.897 7.599 13.980 19.691 27.129 33.118 
 6842 3.897 7.600 13.981 19.691 27.129 33.120 
 6843 3.899 7.600 13.981 19.692 27.129 33.122 
 6844 3.900 7.602 13.981 19.693 27.131 33.124 
 6845 3.902 7.603 13.981 19.694 27.132 33.126 
 6846 3.903 7.605 13.982 19.695 27.133 33.129 
 6847 3.903 7.607 13.983 19.696 27.135 33.131 
 6848 3.904 7.608 13.984 19.696 27.136 33.133 
 6849 3.905 7.609 13.985 19.697 27.136 33.136 
 6850 3.907 7.610 13.985 19.696 27.136 33.137 
 6851 3.908 7.612 13.986 19.697 27.137 33.138 
 6852 3.909 7.613 13.986 19.698 27.137 33.139 
 6853 3.909 7.615 13.987 19.698 27.138 33.141 
 6854 3.910 7.617 13.987 19.700 27.139 33.143 
 6855 3.911 7.618 13.987 19.701 27.139 33.146 
 6856 3.913 7.620 13.989 19.702 27.140 33.149 
 6857 3.914 7.621 13.990 19.703 27.140 33.151 
 6858 3.915 7.622 13.990 19.704 27.140 33.153 
 6859 3.915 7.623 13.991 19.705 27.141 33.155 
 6860 3.917 7.623 13.993 19.705 27.141 33.157 
 6861 3.917 7.623 13.995 19.707 27.142 33.158 
 6862 3.918 7.624 13.995 19.709 27.143 33.159 
 6863 3.919 7.627 13.996 19.710 27.144 33.159 
 6864 3.920 7.628 13.996 19.711 27.146 33.160 
 6865 3.921 7.630 13.996 19.710 27.146 33.161 
 6866 3.922 7.631 13.996 19.710 27.147 33.161 
 6867 3.924 7.632 13.996 19.711 27.148 33.161 
 6868 3.926 7.633 13.997 19.712 27.148 33.162 
 6869 3.927 7.634 13.997 19.713 27.149 33.163 
 6870 3.927 7.636 13.998 19.715 27.149 33.164 
 6871 3.928 7.637 13.999 19.716 27.150 33.165 
 6872 3.929 7.639 14.000 19.717 27.150 33.166 
 6873 3.929 7.641 14.000 19.718 27.151 33.168 
 6874 3.930 7.642 14.000 19.719 27.153 33.171 
 6875 3.931 7.643 14.001 19.720 27.155 33.172 
 6876 3.932 7.644 14.002 19.720 27.157 33.174 
 6877 3.933 7.645 14.004 19.722 27.159 33.175 
 6878 3.934 7.647 14.005 19.722 27.160 33.177 
 6879 3.935 7.647 14.005 19.724 27.161 33.179 
 6880 3.936 7.648 14.006 19.724 27.163 33.180 
 6881 3.937 7.649 14.007 19.726 27.164 33.181 
 6882 3.938 7.650 14.008 19.727 27.165 33.182 
 6883 3.939 7.652 14.008 19.728 27.166 33.183 
 6884 3.940 7.654 14.009 19.728 27.166 33.183 
 6885 3.940 7.656 14.010 19.728 27.167 33.185 
 6886 3.941 7.658 14.011 19.728 27.168 33.185 
 6887 3.943 7.659 14.012 19.729 27.169 33.187 
 6888 3.943 7.660 14.012 19.730 27.170 33.187 
 6889 3.944 7.661 14.012 19.731 27.171 33.189 
 6890 3.944 7.662 14.012 19.732 27.172 33.190 
 6891 3.945 7.663 14.013 19.732 27.172 33.193 
 6892 3.946 7.664 14.013 19.733 27.172 33.195 
 6893 3.949 7.665 14.013 19.734 27.172 33.196 
 6894 3.950 7.666 14.014 19.734 27.173 33.196 
 6895 3.952 7.668 14.015 19.736 27.173 33.198 
 6896 3.953 7.669 14.015 19.736 27.174 33.199 
 6897 3.954 7.670 14.016 19.737 27.174 33.200 
 6898 3.955 7.671 14.017 19.738 27.174 33.202 
 6899 3.957 7.672 14.018 19.739 27.175 33.205 
 6900 3.958 7.673 14.019 19.740 27.176 33.206 
 6901 3.959 7.674 14.020 19.740 27.177 33.207 
 6902 3.959 7.675 14.021 19.740 27.178 33.209 
 6903 3.960 7.676 14.021 19.740 27.178 33.212 
 6904 3.961 7.677 14.022 19.739 27.179 33.213 
 6905 3.962 7.679 14.022 19.741 27.181 33.214 
 6906 3.963 7.680 14.023 19.742 27.181 33.215 
 6907 3.964 7.681 14.024 19.744 27.182 33.216 
 6908 3.965 7.682 14.024 19.744 27.182 33.217 
 6909 3.966 7.684 14.025 19.745 27.183 33.217 
 6910 3.967 7.685 14.026 19.746 27.183 33.219 
 6911 3.968 7.687 14.027 19.746 27.184 33.220 
 6912 3.969 7.688 14.028 19.748 27.184 33.222 
 6913 3.970 7.689 14.028 19.748 27.186 33.224 
 6914 3.972 7.691 14.028 19.750 27.187 33.225 
 6915 3.974 7.692 14.029 19.751 27.188 33.226 
 6916 3.974 7.693 14.029 19.752 27.189 33.226 
 6917 3.975 7.694 14.030 19.754 27.190 33.226 
 6918 3.976 7.695 14.031 19.755 27.192 33.228 
 6919 3.977 7.697 14.031 19.756 27.193 33.229 
 6920 3.978 7.698 14.032 19.758 27.193 33.232 
 6921 3.979 7.699 14.032 19.758 27.194 33.234 
 6922 3.980 7.701 14.034 19.758 27.196 33.236 
 6923 3.981 7.702 14.035 19.759 27.197 33.238 
 6924 3.981 7.704 14.034 19.760 27.199 33.240 
 6925 3.982 7.705 14.034 19.759 27.200 33.242 
 6926 3.983 7.706 14.034 19.759 27.202 33.243 
 6927 3.983 7.708 14.035 19.759 27.203 33.245 
 6928 3.984 7.709 14.035 19.759 27.204 33.246 
 6929 3.985 7.710 14.036 19.759 27.206 33.247 
 6930 3.986 7.711 14.037 19.760 27.207 33.248 
 6931 3.987 7.712 14.038 19.760 27.208 33.249 
 6932 3.988 7.713 14.039 19.760 27.208 33.250 
 6933 3.988 7.715 14.040 19.761 27.210 33.251 
 6934 3.989 7.717 14.040 19.763 27.210 33.252 
 6935 3.990 7.717 14.041 19.764 27.212 33.252 
 6936 3.991 7.719 14.043 19.765 27.212 33.253 
 6937 3.992 7.720 14.045 19.767 27.214 33.254 
 6938 3.992 7.721 14.046 19.769 27.215 33.255 
 6939 3.992 7.722 14.046 19.770 27.215 33.256 
 6940 3.993 7.722 14.045 19.770 27.216 33.258 
 6941 3.995 7.724 14.045 19.772 27.216 33.260 
 6942 3.996 7.726 14.045 19.772 27.217 33.261 
 6943 3.996 7.727 14.046 19.773 27.217 33.261 
 6944 3.997 7.728 14.047 19.773 27.219 33.262 
 6945 3.997 7.729 14.047 19.773 27.219 33.263 
 6946 3.998 7.730 14.047 19.774 27.220 33.265 
 6947 4.000 7.731 14.047 19.775 27.220 33.267 
 6948 4.002 7.732 14.048 19.775 27.221 33.268 
 6949 4.003 7.734 14.050 19.776 27.222 33.270 
 6950 4.004 7.737 14.051 19.777 27.224 33.271 
 6951 4.004 7.738 14.051 19.778 27.226 33.272 
 6952 4.004 7.738 14.051 19.779 27.228 33.273 
 6953 4.005 7.739 14.053 19.780 27.229 33.274 
 6954 4.005 7.740 14.054 19.781 27.230 33.275 
 6955 4.006 7.741 14.054 19.782 27.231 33.275 
 6956 4.006 7.742 14.054 19.783 27.232 33.276 
 6957 4.007 7.744 14.055 19.784 27.232 33.277 
 6958 4.009 7.744 14.056 19.785 27.232 33.279 
 6959 4.011 7.745 14.058 19.786 27.233 33.280 
 6960 4.012 7.746 14.060 19.787 27.234 33.283 
 6961 4.013 7.749 14.062 19.788 27.235 33.287 
 6962 4.014 7.750 14.063 19.788 27.234 33.289 
 6963 4.015 7.752 14.064 19.788 27.235 33.291 
 6964 4.018 7.753 14.065 19.789 27.235 33.292 
 6965 4.019 7.754 14.065 19.790 27.236 33.294 
 6966 4.020 7.755 14.066 19.791 27.237 33.295 
 6967 4.021 7.756 14.067 19.793 27.237 33.296 
 6968 4.022 7.757 14.067 19.794 27.237 33.297 
 6969 4.025 7.758 14.068 19.794 27.237 33.299 
 6970 4.027 7.760 14.068 19.794 27.237 33.300 
 6971 4.028 7.760 14.068 19.795 27.238 33.301 
 6972 4.029 7.762 14.068 19.796 27.239 33.302 
 6973 4.030 7.764 14.068 19.797 27.241 33.303 
 6974 4.031 7.765 14.069 19.798 27.242 33.304 
 6975 4.032 7.767 14.070 19.798 27.244 33.306 
 6976 4.033 7.767 14.071 19.800 27.246 33.308 
 6977 4.035 7.768 14.072 19.801 27.247 33.311 
 6978 4.036 7.770 14.073 19.801 27.248 33.314 
 6979 4.037 7.772 14.073 19.801 27.248 33.315 
 6980 4.038 7.773 14.074 19.802 27.248 33.317 
 6981 4.039 7.774 14.075 19.803 27.249 33.318 
 6982 4.040 7.775 14.075 19.804 27.249 33.318 
 6983 4.041 7.776 14.076 19.804 27.249 33.319 
 6984 4.041 7.777 14.077 19.804 27.249 33.320 
 6985 4.041 7.778 14.077 19.805 27.249 33.321 
 6986 4.043 7.780 14.077 19.805 27.251 33.321 
 6987 4.045 7.780 14.078 19.806 27.251 33.323 
 6988 4.047 7.782 14.078 19.808 27.251 33.326 
 6989 4.047 7.783 14.079 19.809 27.251 33.329 
 6990 4.048 7.784 14.079 19.810 27.251 33.331 
 6991 4.049 7.785 14.079 19.810 27.251 33.333 
 6992 4.050 7.786 14.080 19.810 27.251 33.333 
 6993 4.052 7.787 14.080 19.811 27.251 33.334 
 6994 4.053 7.789 14.081 19.812 27.252 33.335 
 6995 4.055 7.790 14.081 19.813 27.253 33.337 
 6996 4.056 7.791 14.083 19.813 27.254 33.338 
 6997 4.058 7.793 14.084 19.814 27.256 33.338 
 6998 4.059 7.793 14.085 19.814 27.257 33.339 
 6999 4.061 7.794 14.086 19.815 27.257 33.340 
 7000 4.062 7.796 14.087 19.816 27.257 33.342 
 7001 4.064 7.798 14.087 19.817 27.258 33.345 
 7002 4.066 7.799 14.087 19.817 27.260 33.347 
 7003 4.067 7.799 14.088 19.818 27.260 33.350 
 7004 4.068 7.801 14.090 19.818 27.261 33.351 
 7005 4.069 7.802 14.090 19.819 27.261 33.353 
 7006 4.071 7.804 14.091 19.821 27.262 33.355 
 7007 4.071 7.806 14.091 19.821 27.262 33.356 
 7008 4.073 7.807 14.091 19.822 27.262 33.358 
 7009 4.073 7.808 14.091 19.823 27.264 33.358 
 7010 4.073 7.810 14.091 19.823 27.265 33.360 
 7011 4.073 7.811 14.091 19.824 27.265 33.362 
 7012 4.075 7.813 14.092 19.824 27.266 33.364 
 7013 4.076 7.814 14.094 19.826 27.266 33.366 
 7014 4.077 7.815 14.095 19.827 27.268 33.367 
 7015 4.078 7.816 14.096 19.828 27.269 33.369 
 7016 4.079 7.817 14.096 19.828 27.269 33.370 
 7017 4.081 7.819 14.096 19.829 27.271 33.371 
 7018 4.083 7.820 14.097 19.830 27.272 33.372 
 7019 4.084 7.822 14.097 19.829 27.273 33.374 
 7020 4.085 7.823 14.098 19.829 27.274 33.376 
 7021 4.086 7.824 14.098 19.830 27.275 33.377 
 7022 4.086 7.826 14.099 19.831 27.275 33.379 
 7023 4.087 7.827 14.099 19.831 27.275 33.380 
 7024 4.087 7.828 14.100 19.832 27.277 33.380 
 7025 4.088 7.830 14.100 19.833 27.279 33.382 
 7026 4.090 7.831 14.101 19.834 27.280 33.383 
 7027 4.091 7.833 14.102 19.836 27.282 33.384 
 7028 4.091 7.834 14.102 19.836 27.283 33.385 
 7029 4.092 7.835 14.103 19.837 27.284 33.387 
 7030 4.094 7.836 14.103 19.837 27.286 33.389 
 7031 4.095 7.838 14.104 19.838 27.286 33.389 
 7032 4.095 7.840 14.104 19.838 27.287 33.391 
 7033 4.096 7.842 14.104 19.839 27.288 33.392 
 7034 4.097 7.843 14.104 19.839 27.289 33.393 
 7035 4.099 7.843 14.104 19.841 27.289 33.395 
 7036 4.100 7.843 14.106 19.841 27.290 33.396 
 7037 4.101 7.844 14.106 19.841 27.291 33.398 
 7038 4.102 7.845 14.107 19.842 27.292 33.400 
 7039 4.104 7.846 14.108 19.842 27.293 33.401 
 7040 4.104 7.848 14.109 19.843 27.293 33.403 
 7041 4.105 7.850 14.110 19.843 27.294 33.404 
 7042 4.107 7.851 14.112 19.844 27.296 33.406 
 7043 4.108 7.853 14.112 19.843 27.296 33.408 
 7044 4.110 7.854 14.112 19.843 27.297 33.410 
 7045 4.110 7.856 14.113 19.844 27.298 33.411 
 7046 4.109 7.857 14.114 19.845 27.299 33.413 
 7047 4.111 7.858 14.115 19.846 27.300 33.415 
 7048 4.112 7.859 14.115 19.846 27.301 33.416 
 7049 4.113 7.859 14.115 19.846 27.303 33.416 
 7050 4.114 7.861 14.115 19.848 27.305 33.418 
 7051 4.116 7.863 14.116 19.849 27.308 33.419 
 7052 4.116 7.865 14.118 19.849 27.310 33.422 
 7053 4.118 7.866 14.119 19.850 27.311 33.424 
 7054 4.119 7.867 14.119 19.851 27.312 33.425 
 7055 4.120 7.867 14.119 19.851 27.312 33.426 
 7056 4.121 7.869 14.119 19.852 27.312 33.427 
 7057 4.122 7.871 14.120 19.853 27.312 33.428 
 7058 4.123 7.872 14.120 19.852 27.314 33.430 
 7059 4.124 7.873 14.121 19.852 27.314 33.430 
 7060 4.125 7.875 14.122 19.853 27.315 33.430 
 7061 4.126 7.876 14.123 19.854 27.317 33.430 
 7062 4.128 7.877 14.125 19.855 27.318 33.431 
 7063 4.129 7.879 14.125 19.856 27.319 33.432 
 7064 4.130 7.880 14.126 19.856 27.321 33.434 
 7065 4.131 7.881 14.126 19.857 27.322 33.436 
 7066 4.132 7.882 14.126 19.858 27.323 33.438 
 7067 4.133 7.884 14.127 19.859 27.323 33.441 
 7068 4.134 7.886 14.128 19.859 27.323 33.443 
 7069 4.136 7.887 14.128 19.860 27.325 33.446 
 7070 4.138 7.888 14.128 19.861 27.326 33.447 
 7071 4.139 7.888 14.128 19.862 27.328 33.449 
 7072 4.140 7.889 14.128 19.862 27.328 33.450 
 7073 4.141 7.890 14.128 19.862 27.329 33.451 
 7074 4.142 7.891 14.128 19.862 27.329 33.452 
 7075 4.143 7.894 14.129 19.863 27.330 33.453 
 7076 4.144 7.896 14.129 19.864 27.330 33.454 
 7077 4.144 7.897 14.129 19.865 27.331 33.455 
 7078 4.145 7.898 14.129 19.865 27.333 33.457 
 7079 4.146 7.899 14.130 19.865 27.333 33.459 
 7080 4.146 7.901 14.130 19.865 27.333 33.461 
 7081 4.147 7.902 14.131 19.866 27.333 33.462 
 7082 4.149 7.903 14.132 19.866 27.334 33.464 
 7083 4.150 7.904 14.132 19.868 27.335 33.465 
 7084 4.151 7.904 14.133 19.868 27.336 33.467 
 7085 4.152 7.906 14.133 19.869 27.336 33.468 
 7086 4.153 7.907 14.134 19.870 27.336 33.469 
 7087 4.154 7.908 14.134 19.871 27.336 33.469 
 7088 4.156 7.909 14.135 19.871 27.337 33.470 
 7089 4.156 7.910 14.135 19.872 27.338 33.471 
 7090 4.157 7.912 14.135 19.872 27.338 33.472 
 7091 4.158 7.915 14.136 19.874 27.338 33.474 
 7092 4.160 7.916 14.137 19.874 27.339 33.474 
 7093 4.161 7.917 14.138 19.875 27.340 33.475 
 7094 4.163 7.917 14.138 19.877 27.342 33.476 
 7095 4.164 7.918 14.139 19.877 27.343 33.477 
 7096 4.166 7.920 14.139 19.877 27.344 33.478 
 7097 4.167 7.920 14.140 19.879 27.345 33.478 
 7098 4.168 7.922 14.140 19.881 27.346 33.479 
 7099 4.170 7.924 14.140 19.881 27.347 33.479 
 7100 4.172 7.925 14.141 19.881 27.346 33.480 
 7101 4.173 7.926 14.141 19.881 27.347 33.482 
 7102 4.174 7.927 14.143 19.881 27.348 33.483 
 7103 4.174 7.928 14.143 19.882 27.350 33.484 
 7104 4.175 7.929 14.144 19.883 27.351 33.486 
 7105 4.176 7.930 14.145 19.884 27.352 33.488 
 7106 4.177 7.932 14.145 19.886 27.353 33.490 
 7107 4.178 7.933 14.145 19.886 27.354 33.492 
 7108 4.180 7.934 14.146 19.886 27.355 33.494 
 7109 4.181 7.935 14.147 19.886 27.356 33.494 
 7110 4.181 7.935 14.147 19.887 27.356 33.495 
 7111 4.183 7.936 14.147 19.887 27.358 33.496 
 7112 4.184 7.938 14.147 19.888 27.359 33.497 
 7113 4.185 7.939 14.147 19.888 27.360 33.498 
 7114 4.186 7.941 14.148 19.889 27.361 33.498 
 7115 4.186 7.943 14.148 19.889 27.362 33.498 
 7116 4.187 7.943 14.148 19.889 27.364 33.499 
 7117 4.188 7.944 14.149 19.890 27.364 33.500 
 7118 4.189 7.944 14.150 19.891 27.364 33.502 
 7119 4.190 7.945 14.151 19.893 27.365 33.503 
 7120 4.191 7.945 14.152 19.893 27.365 33.503 
 7121 4.192 7.946 14.152 19.894 27.366 33.504 
 7122 4.193 7.947 14.153 19.895 27.367 33.505 
 7123 4.193 7.949 14.154 19.895 27.367 33.506 
 7124 4.193 7.950 14.155 19.896 27.368 33.508 
 7125 4.193 7.950 14.154 19.897 27.369 33.509 
